;17020_final_value2_mean;17020_final_value2_SD;17020_final_value2_Kurtosis;17020_final_value2_Skewness;17318_final_value2_mean;17318_final_value2_SD;17318_final_value2_Kurtosis;17318_final_value2_Skewness;;Durchmesser
17010847_7920009821240220;1.799764934;0.726585187;0.767977036;-1.235552534;3.765160952;5.215986626;63.00943837;5.568312132;18.1519;18.15188333
17010847_7920042811210220;2.211503072;5.052994638;183.4774859;13.36296509;10.34431145;6.039596593;9.513457369;0.968265076;18.1494;18.14938333
17010847_7920038821210220;2.025901695;0.36511376;-0.286515329;0.050440224;9.839928885;6.057512629;9.449396671;0.975992722;18.1498;18.14981667
17010847_7920045811210220;2.44598527;5.99953408;113.5459208;10.59595793;11.22528359;5.15964942;-0.665541576;-0.089799424;18.1494;18.14938333
17010847_7920044821250220;2.070767282;0.373317171;-0.291024892;-0.033824698;5.488193694;8.658954776;1181.475901;25.77574759;18.1509;18.15093333
17010847_7920021811240220;2.075171485;0.375107138;-0.314415885;-0.006581337;1770.207378;42872.8339;623.6257097;24.99248468;18.1521;18.15213333
17010847_7920020821240220;2.090408235;0.378383763;-0.256138905;0.023102597;5.505935762;5.986794808;30.57362311;3.289073541;18.1521;18.15211667
17010847_7920065821180220;2.102613342;0.408909146;-0.326740192;0.059435526;8.035475043;5.173026112;27.78118945;2.655652981;18.1502;18.15018333
17010847_7920066841180220;1.750328253;1.864007206;44.87771302;4.963424829;5.198081677;5.274904674;18.05071383;2.148311676;18.1506;18.15063333
17010847_7920034811240220;2.113276608;0.368850345;-0.372044828;-0.016523254;5.062559918;4.999131889;36.10707473;3.243145314;18.1513;18.15131667
17008296_7920009821250220;2.764353567;8.86712557;45.39888883;6.692920327;4.754945489;5.433857172;44.73110077;4.164956909;18.1511;18.1511
17010847_7920032821240220;1.831210169;1.342521448;120.8247987;8.568590265;4.810464402;5.274937382;23.86568763;2.577506646;18.1518;18.15183333
17010847_7920007811240220;2.853699932;9.55922958;37.93450755;6.247192516;3.436952881;4.871837565;77.13138369;6.173038145;18.1519;18.15186667
17010847_7920067811180220;2.122425123;0.407764716;-0.438552826;0.062890438;7.006924239;5.617075261;35.56367086;3.52554155;18.1498;18.1498
17010847_7920042831210220;2.206132813;0.955497556;-0.42535672;-0.272930497;4.957155206;5.901845988;36.71059575;4.133499158;18.1498;18.14981667
17010847_7920010821240220;2.048347017;0.463191945;3.993019933;-1.269398978;5.400999121;5.841421882;30.65749927;3.258503722;18.1521;18.15211667
17010847_7920044841250220;2.283924498;0.854712275;-0.691427722;-0.021109817;7.108912919;5.989961129;28.53244901;3.343929452;18.1496;18.14956667
17010847_7920045841250220;2.290635157;0.8593675;-0.670655306;-0.015081914;7.77716931;6.066160178;27.06340059;3.15890801;18.1496;18.1496
17010847_7920031831240220;2.234596591;0.933453999;-0.4421936;-0.22693804;6.720245748;4.750355551;-1.427857348;0.430677461;18.1508;18.15083333
17010847_7920006831240220;2.329656357;0.835657645;-0.699893544;-0.039977189;5.18852661;5.162690379;39.997934;3.890307633;18.1499;18.14993333
17010847_7920067831180220;2.349525757;0.908034677;-0.638892801;-0.012373937;4.300745962;4.630644039;35.59427712;3.301423819;18.1505;18.15053333
17010847_7920066831180220;2.319923212;0.877204463;-0.614799996;-0.012278791;5.134187159;5.022543535;23.26338828;2.443254241;18.1508;18.15083333
17010847_7920046841210220;3.297034792;8.30605922;42.40988853;6.580456972;5.618915065;5.759392063;22.23476788;2.756705635;18.1496;18.14955
17010847_7920007821240220;3.4787054;8.923372448;40.83614563;6.494075507;5.102533007;6.285165545;38.03329937;4.143849429;18.1522;18.15216667
17010847_7920044811210220;2.288578454;4.95479988;142.5220356;11.81788781;10.84130106;5.527574749;14.41974187;1.535400789;18.1497;18.1497
17010847_7920039831210220;5.140955592;121.9254655;1818.824031;42.67007889;6.190950348;4.932018634;-1.648316544;0.367273957;18.1499;18.14993333
17010847_7920038831210220;2.468142938;3.486664551;264.1182703;15.6428899;5.20605463;5.103587641;22.79745168;2.479139268;18.15;18.15001667
17010847_7920066821180220;2.784762016;8.161122606;43.0433754;6.571003709;7.889126527;5.700302742;14.06349662;1.612378646;18.1498;18.14976667
17010847_7920039821210220;3.698060976;10.20937802;28.89011246;5.4999658;9.354111547;6.566667151;6.536928085;0.922180828;18.1498;18.14981667
17010847_7920034831240220;2.532090217;3.719282487;243.7573645;15.19117457;6.410929655;5.245769944;19.51859587;2.209289019;18.149;18.14901667
17010847_7920021841240220;3.980899858;9.647186011;29.82434605;5.590898784;5.450765673;5.009299079;50.00639301;4.545048408;18.1492;18.14923333
17010847_7920023831240220;2.774143254;7.703448719;53.97101908;7.376972085;5.81895067;4.900486869;21.33331999;2.220145078;18.1493;18.14926667
